,sentence,sentiment_polarity,sentiment_subjectivity
29,No dia que a minha melhor amiga faleceu de covid,0.0,0.0
30,RT @Morwen_dz: Buenas tardes a todos. Hoy les pido de coraz\xc3\xb3n que me ayuden a compartir esta campa\xc3\xb1a. Milagros es compa\xc3\xb1era de trabajo y pr\xe2\x80\xa6',0.0,0.0
31,"b""RT @tarahaelle: This is one of the best (maybe *the* best?) segments on vaccine hesitancy I've ever seen on TV",1.0,0.3
32,RT @normanswan: We even had the media being lectured on it at press conferences. And most states still follow their (wrong) guidelines. Ano\xe2\x80\xa6',0.0,0.7
33,@BecaBrix UM DOS L\xc3\x8dDERES D PT N STF,0.0,0.0
34,RT @portalMSN: Fiocruz alerta que 3\xc2\xaa onda da Covid-19 pode ser catastr\xc3\xb3fica #msnbrasil https://t.co/EGKeAVPjpm',0.0,0.0
35,RT @SukunaBikona7: \xe6\x9c\x80\xe8\xbf\x91\xe3\x81\xae\xe9\x99\xb0\xe8\xac\x80\xe8\xab\x96\xe7\x95\x8c\xe9\x9a\x88\xe3\x81\xa7\xe3\x81\xafCOVID-19\xe3\x83\xaf\xe3\x82\xaf\xe3\x83\x81\xe3\x83\xb3\xe6\x8e\xa5\xe7\xa8\xae\xe5\xbe\x8c\xe3\x81\xab\xe6\x8e\xa5\xe7\xa8\xae\xe9\x83\xa8\xe4\xbd\x8d\xe3\x81\xab\xe7\xa3\x81\xe7\x9f\xb3\xe3\x81\x8c\xe3\x81\x8f\xe3\x81\xa3\xe3\x81\xa4\xe3\x81\x8f\xe3\x81\xa8\xe3\x81\x84\xe3\x81\x86\xe3\x83\x8d\xe3\x82\xbf\xe3\x81\x8c\xe6\xb5\x81\xe8\xa1\x8c\xe3\x81\xa3\xe3\x81\xa6\xe3\x81\x84\xe3\x82\x8b\xe3\x82\x89\xe3\x81\x97\xe3\x81\x84\xe3\x81\xae\xe3\x81\xa7\xe3\x80\x81\xe6\x8e\xa5\xe7\xa8\xae\xe3\x81\x97\xe3\x81\x9f\xe7\x9a\x86\xe3\x81\x95\xe3\x82\x93\xe3\x81\xaf\xe3\x81\x9c\xe3\x81\xb2\xe3\x80\x82\n\xe5\x83\x95\xe3\x81\xaf\xe3\x81\x8f\xe3\x81\xa3\xe3\x81\xa4\xe3\x81\x8d\xe3\x81\xbe\xe3\x81\x9b\xe3\x82\x93\xe3\x81\xa7\xe3\x81\x97\xe3\x81\x9f\xe3\x80\x82 https://t.co/aHsaZaQaC0',0.0,0.0
36,@JulioTalledoV @FSagasti Las vacuna basura (chinas) ir\xc3\xa1n para la poblaci\xc3\xb3n de provincias. En pa\xc3\xadses con alta tasa d\xe2\x80\xa6 https://t.co/luQkJmBHi9',0.0,0.0
37,RT @AmyMcGrathKY: VA offering walk-in COVID-19 vaccinations nationwide  https://t.co/fg3qRolSkP',0.0,0.0
38,RT @SenRubioPress: Chinese writer &amp; scholar #XuZhiyong has been detained for more than a year by the #CCP for writing the truth about Xi Ji\xe2\x80\xa6',0.25,0.25
39,RT @RealEspartaB: Si ZZ decide irse le entender\xc3\xada. Desde fuera da la sensaci\xc3\xb3n de estar muy quemado de todo lo que rodea al Madrid,0.0,0.0
40,RT @Biakicis: A nossa campe\xc3\xa3 @AnaPaulaVolei explica a irrita\xc3\xa7\xc3\xa3o do Relator da CPI,0.0,0.0
41,RT @taashu__insan: #SaluteToCoronaWarriors Who are standing all for our safety and huge salute to all the nurses,0.4000000000000001,0.9
42,minha prima \xf0\x9f\x98\xbb\xf0\x9f\x98\xb,0.0,0.0
43,"RT @Telegraph: \xf0\x9f\x94\xb4Boris Johnson has warned that ""hard choices"" may have to be made as a result of the Indian variant. \n\nThe PM said this incl\xe2\x80\xa6'",-0.2916666666666667,0.5416666666666666
44,RT @ECastroES: Hoy recib\xc3\xad mi primera dosis de vacuna contra el COVID-19.\n\nUna bendici\xc3\xb3n que tenemos todos los salvadore\xc3\xb1os gracias al gran\xe2\x80\xa6',0.0,0.0
45,RT @Nova_Crystallis: Yoshida is thanking everyone from watching live around the world! He mentions how he would have loved to have it in pe\xe2\x80\xa6',0.4352272727272727,0.65
46,Jerk',0.0,0.0
47,RT @itekkiut: Seputih salju ya lungs covid pt.\n\nTodays death,0.0,0.0
48,Decis\xc3\xa3o do governador Helder Barbalho \xc3\xa9 v\xc3\xa1lido para todo o Oeste do Par\xc3\xa1 e mais seis regi\xc3\xb5es que entram em bandeira\xe2\x80\xa6 https://t.co/J6Uua3BUxz',0.0,0.0
49,RT @whosaides: \xf0\x9f\x93\x8c \xe0\xb8\x84\xe0\xb8\xa3\xe0\xb8\xb1\xe0\xb9\x89\xe0\xb8\x87\xe0\xb8\x97\xe0\xb8\xb5\xe0\xb9\x88\xe0\xb8\xab\xe0\xb8\x99\xe0\xb8\xb6\xe0\xb9\x88\xe0\xb8\x87\xe0\xb9\x81\xe0\xb8\xa5\xe0\xb8\xb0\xe0\xb8\x84\xe0\xb8\xa3\xe0\xb8\xb1\xe0\xb9\x89\xe0\xb8\x87\xe0\xb8\x97\xe0\xb8\xb5\xe0\xb9\x88\xe0\xb8\xaa\xe0\xb8\xad\xe0\xb8\x87 \xe0\xb8\x97\xe0\xb8\xb1\xe0\xb9\x89\xe0\xb8\x87\xe0\xb8\xa2\xe0\xb8\xb1\xe0\xb8\x87\xe0\xb8\x81\xe0\xb8\xa5\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\xa7\xe0\xb8\xa7\xe0\xb9\x88\xe0\xb8\xb2 \xe0\xb8\x97\xe0\xb8\xb5\xe0\xb8\xa1\xe0\xb8\x99\xe0\xb8\xb1\xe0\xb8\x81\xe0\xb8\xa7\xe0\xb8\xb4\xe0\xb8\x97\xe0\xb8\xa2\xe0\xb8\xb2\xe0\xb8\xa8\xe0\xb8\xb2\xe0\xb8\xaa\xe0\xb8\x95\xe0\xb8\xa3\xe0\xb9\x8c\xe0\xb8\x97\xe0\xb8\xb2\xe0\xb8\x87\xe0\xb8\x81\xe0\xb8\xb2\xe0\xb8\xa3\xe0\xb8\x97\xe0\xb8\xab\xe0\xb8\xb2\xe0\xb8\xa3\xe0\xb8\x82\xe0\xb8\xad\xe0\xb8\x87\xe0\xb8\x88\xe0\xb8\xb5\xe0\xb8\x99\xe0\xb8\xab\xe0\xb8\xb2\xe0\xb8\xa3\xe0\xb8\xb7\xe0\xb8\xad\xe0\xb9\x80\xe0\xb8\x81\xe0\xb8\xb5\xe0\xb9\x88\xe0\xb8\xa2\xe0\xb8\xa7\xe0\xb8\x81\xe0\xb8\xb1\xe0\xb8\x9a\xe0\xb8\x81\xe0\xb8\xb2\xe0\xb8\xa3\xe0\xb8\x95\xe0\xb8\xb4\xe0\xb8\x94\xe0\xb8\xad\xe0\xb8\xb2\xe0\xb8\xa7\xe0\xb8\xb8\xe0\xb8\x98\xe0\xb8\x94\xe0\xb9\x89\xe0\xb8\xa7\xe0\xb8\xa2\xe0\xb9\x80\xe0\xb8\x8a\xe0\xb8\xb7\xe0\xb9\x89\xe0\xb8\xad\xe0\xb8\x8b\xe0\xb8\xb2\xe0\xb8\xa3\xe0\xb9\x8c\xe0\xb8\xaa \xe0\xb9\x82\xe0\xb8\x84\xe0\xb9\x82\xe0\xb8\xa3\xe0\xb8\x99\xe2\x80\xa6',0.0,0.0
50,RT @itsinspiring_: Though the times have been difficult,-0.5,1.0
51,RT @DSSNewsUpdates: SALUTE TO CORONA WARRIORS- DOCTORS,0.0,0.0
52,"RT @BoLu213: ""\xe4\xb8\xad\xe5\x85\xb1\xe5\x8f\x8a\xe5\x85\xb6PLA(\xe8\xa7\xa3\xe6\x94\xbe\xe5\x86\x9b)\xe5\xaf\xb9\xe7\xbe\x8e\xe5\x9b\xbd\xe7\x9a\x84\xe7\x97\x85\xe6\xaf\x92\xe7\xa0\x94\xe7\xa9\xb6\xe8\xae\xa1\xe5\x88\x92\xe9\xa1\xb9\xe7\x9b\xae\xe8\xbf\x9b\xe8\xa1\x8c\xe4\xba\x86\xe5\xa4\xa7\xe4\xb8\xbe\xe6\xb8\x97\xe9\x80\x8f",0.0,0.0
53,@CCharlottteee @Snow1nApril @CNN The mask is designed to reduce you from being a spreader,0.0,0.0
54,"b""RT @republic: First batch of DRDO's anti-COVID-19 drug 2DG to be available from next week https://t.co/WDPrRlfe4s""",0.21666666666666667,0.24444444444444446
55,peak comedy of them to invite culhane to watch !!!',0.0,0.0
56,RT @KollamNanbans: Thalapathy Vijay Makkal Iyakkam,0.0,0.0
57,RT @CNNEE: La Organizaci\xc3\xb3n Mundial de la Salud pide a los pa\xc3\xadses ricos donar vacunas contra el covid-19,0.0,0.0
58,@PrensaMadres El COVID le est\xc3\xa1 haciendo precio a la vieja',0.0,0.0
59,\xe0\xae\xae\xe0\xaf\x81\xe0\xae\xa4\xe0\xae\xb2\xe0\xaf\x8d\xe0\xae\xb5\xe0\xae\xb0\xe0\xaf\x8d \xe0\xae\xae\xe0\xaf\x81.\xe0\xae\x95.\xe0\xae\xb8\xe0\xaf\x8d\xe0\xae\x9f\xe0\xae\xbe\xe0\xae\xb2\xe0\xae\xbf\xe0\xae\xa9\xe0\xaf\x8d \xe0\xae\x87\xe0\xae\xb0\xe0\xae\xb5\xe0\xae\xbf\xe0\xae\xb2\xe0\xaf\x8d \xe0\xae\x86\xe0\xae\xaf\xe0\xaf\x8d\xe0\xae\xb5\xe0\xaf\x81!\n#coronavirus #mkstalin #tamilnaducmmkstalin #warroom #\xe0\xae\x95\xe0\xaf\x8a\xe0\xae\xb0\xe0\xaf\x8b\xe0\xae\xa9\xe0\xae\xbe\xe0\xae\xb5\xe0\xaf\x88\xe0\xae\xb0\xe0\xae\xb8\xe0\xaf\x8d\xe2\x80\xa6 https://t.co/lzuGT6Zl3n',0.0,0.0
60,RT @gabyacortes: Necesitamos donantes de sangre,0.0,0.0
61,@Breaking911 \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82there little COVID movie is falling apart it will be a hot summer',0.03125,0.675
62,RT @HTPunjab: The Punjab government is all set to release nearly 3,0.1,0.4
63,RT @OmarLFernandez: En mi condici\xc3\xb3n de Congresista de la Rep\xc3\xbablica Dominicana,0.0,0.0
64,RT @PapaKiP19345550: The volunteers of @derasachasauda are not less than any corona warriors who are distributing fruits to doctors,0.08333333333333333,0.06666666666666667
65,"b""RT @RealPNavarro: Fauci stone cold lied to Rand Paul.  Here's the evidence.\nhttps://t.co/U7F9h2Q3Zx""",-0.6,1.0
66,Super misleading. They don\xe2\x80\x99t know what percentage of the population (small or large) will still get COVID BECAUSE p\xe2\x80\xa6 https://t.co/WXQPLUPJyu',0.09920634920634919,0.4984126984126984
67,RT @VincentRK: A lot of COVID deaths in India in young people who should be doing well &amp; recovering. \n\nI am making a plea to doctors in Ind\xe2\x80\xa6',0.1,0.4
68,RT @friendsofrss: RSS volunteers are serving Ayurvedic tea,0.0,0.0
69,"b""@kgopinion I'm just kind of confused b/c I guess it means the variants are meaningless &amp; are no threat. \n\nI guess ~\xe2\x80\xa6 https://t.co/1jpIcuaXBK""",-0.10000000000000002,0.8666666666666667
70,Must read... https://t.co/Ccng7fEd33',0.0,0.0
71,RT @iam_chocom: \xe0\xb8\x81\xe0\xb9\x87\xe0\xb8\x84\xe0\xb8\xb7\xe0\xb8\xad #\xe0\xb9\x80\xe0\xb8\xa3\xe0\xb8\xb7\xe0\xb9\x88\xe0\xb8\xad\xe0\xb8\x87\xe0\xb9\x80\xe0\xb8\xa5\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb9\x80\xe0\xb8\x8a\xe0\xb9\x89\xe0\xb8\xb2\xe0\xb8\x99\xe0\xb8\xb5\xe0\xb9\x89 \xe0\xb8\xad\xe0\xb8\xad\xe0\xb8\x81\xe0\xb8\x82\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\xa7\xe0\xb9\x81\xe0\xb8\xa5\xe0\xb9\x89\xe0\xb8\xa7\xe0\xb9\x80\xe0\xb8\xa3\xe0\xb8\xb5\xe0\xb8\xa2\xe0\xb8\x9a\xe0\xb8\xa3\xe0\xb9\x89\xe0\xb8\xad\xe0\xb8\xa2\xe0\xb8\x95\xe0\xb9\x89\xe0\xb8\xb0 https://t.co/1jWhtq6Nk,0.0,0.0
72,RT @mkstalin: Thank you @ShekharGupta &amp; @ThePrintIndia \n\n#COVID19 does not discriminate based on political affiliation and,0.0,0.1
73,RT @Mamta_025: #SaluteToCoronaWarriors\nSaint Dr. @Gurmeetramrahim Singh Ji written in pious letter distributing fruits including oranges,0.0,0.3
74,Calling this a crack is like calling covid a minor inconvenience.    Look at the design. 4 main supports w cables t\xe2\x80\xa6 https://t.co/DwbVSksat0',0.05833333333333333,0.26666666666666666
75,RT @SukhmanderBrar0: Doctors,0.0,0.0
76,RT @dockaurG: \xe2\x80\x9cUse of fear to control behaviour in Covid pandemic was \xe2\x80\x98totalitarian\xe2\x80\x99 and \xe2\x80\x98unethical\xe2\x80\x99,0.0,0.0
77,sexto com suspeita de covid \xf0\x9f\xa4\xa0',0.0,0.0
78,RT @Live_Hindustan: \xe0\xa4\x90\xe0\xa4\xb8\xe0\xa5\x87 \xe0\xa4\x9c\xe0\xa5\x80\xe0\xa4\xa4\xe0\xa5\x87\xe0\xa4\x82\xe0\xa4\x97\xe0\xa5\x87 \xe0\xa4\x9c\xe0\xa4\x82\xe0\xa4\x97? \xe0\xa4\xa6\xe0\xa5\x87\xe0\xa4\xb6 \xe0\xa4\xae\xe0\xa5\x87\xe0\xa4\x82 \xe0\xa4\x95\xe0\xa5\x8b\xe0\xa4\xb0\xe0\xa5\x8b\xe0\xa4\xa8\xe0\xa4\xbe \xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\xb2 \xe0\xa4\xae\xe0\xa5\x87\xe0\xa4\x82 \xe0\xa4\xad\xe0\xa5\x80 \xe0\xa4\xa7\xe0\xa5\x82\xe0\xa4\xb2 \xe0\xa4\xab\xe0\xa4\xbe\xe0\xa4\x82\xe0\xa4\x95 \xe0\xa4\xb0\xe0\xa4\xb9\xe0\xa5\x87 \xe0\xa4\xb9\xe0\xa4\x9c\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa5\x8b\xe0\xa4\x82 \xe0\xa4\xb5\xe0\xa5\x87\xe0\xa4\x82\xe0\xa4\x9f\xe0\xa4\xbf\xe0\xa4\xb2\xe0\xa5\x87\xe0\xa4\x9f\xe0\xa4\xb0,0.0,0.0
79,WOW',0.1,1.0
80,@APasshole Initially,0.0,0.0
81,RT @Biakicis: A nossa campe\xc3\xa3 @AnaPaulaVolei explica a irrita\xc3\xa7\xc3\xa3o do Relator da CPI,0.0,0.0
82,"b""RT @Spyder_Michael: Ajith kumar donated 25Lack's to covid relief fund #SecondCOVIDWave .  \xf0\x9f\x91\x8c  \n\n NOT 2.5 cr .  \n\n#Master @actorvijay #Thalap\xe2\x80\xa6""",0.0,0.0
83,RT @junsvogh: POR FAVOR AJUDA,0.0,0.0
84,IDI: Waspada Lonjakan Kasus Covid-19 Pasca Libur\n\nSatukan NKRI\nhttps://t.co/spW1Wcjrpn',0.0,0.0
85,RT @IAmTheActualET: Unvaccinated kids are at the same risk of COVID as a vaccinated 30 year old but for some reason Tony Fauci won\xe2\x80\x99t leave\xe2\x80\xa6',0.05,0.1625
86,RT @TheAnuragTyagi: Kehna bohot aasan hai ki hum sare safety ke measures ka dhyan rakhenge. Bache chhoro,0.0,0.0
87,@westcoastlawyer Oh,0.0,0.0
88,RT @slightwright: Can we get one more stimulus before the government completely pretends Covid is over? https://t.co/NF37vFMvHv',0.3,0.45
89,@GOPLeader America can\xe2\x80\x99t go back to work until they are safe from Covid and can access childcare',0.25,0.25
90,RT @jotaalonso: Est\xc3\xa1n por llegar casi 700 mil dosis de AstraZeneca Oxford v\xc3\xada Covax y alrededor de 4 millones de vacunas de AstraZeneca des\xe2\x80\xa6',0.0,0.0
91,RT @johncardillo: The WH ordered the CDC to declare COVID \xe2\x80\x9cover\xe2\x80\x9d days after irrefutable evidence of Fauci funding the Wuhan lab came to lig\xe2\x80\xa6',0.0,0.0
92,RT @ABPNews: #Karnataka \xe0\xa4\xae\xe0\xa5\x87\xe0\xa4\x82 \xe0\xa4\x97\xe0\xa5\x83\xe0\xa4\xb9\xe0\xa4\xae\xe0\xa4\x82\xe0\xa4\xa4\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa5\x80 \xe0\xa4\xa8\xe0\xa5\x87 \xe0\xa4\x85\xe0\xa4\xaa\xe0\xa4\xa8\xe0\xa5\x87 \xe0\xa4\x98\xe0\xa4\xb0 \xe0\xa4\x95\xe0\xa5\x8b \xe0\xa4\xac\xe0\xa4\xa8\xe0\xa4\xbe\xe0\xa4\xaf\xe0\xa4\xbe \xe0\xa4\x95\xe0\xa5\x8b\xe0\xa4\xb5\xe0\xa4\xbf\xe0\xa4\xa1 \xe0\xa4\x95\xe0\xa5\x87\xe0\xa4\xaf\xe0\xa4\xb0 \xe0\xa4\xb8\xe0\xa5\x87\xe0\xa4\x82\xe0\xa4\x9f\xe0\xa4\xb0,0.0,0.0
93,"b""RT @JeanneKarp: \xf0\x9f\x94\xb4 L'ambassadeur indien de la sant\xc3\xa9 se fait vacciner pour montrer qu'il n'y a aucun risque et d\xc3\xa9c\xc3\xa8de 2 jours plus tard https\xe2\x80\xa6""",0.0,0.0
94,"RT @SFGate: ""We encourage customers to follow the guidance of health officials",0.0,0.0
95,This is what my life looked like amongst my friends (when we got covid) who are young and healthy and not vaccinate\xe2\x80\xa6 https://t.co/qqKtfOuvBs',0.3,0.45
96,RT @iam_nilesh11: The volunteers of @derasachasauda #SaluteToCoronaWarriors by providing them lemon water,0.0,0.0
97,@LivePDDave1 Your not being injected with a Covid Virus',0.0,0.0
98,\xc2\xbfCu\xc3\xa1ntos de nosotros sobreviviremos al peor virus que azota al pa\xc3\xads? No hablo del Covid.',0.0,0.0
99,RT @ppbajpai: \xe0\xa4\x8f\xe0\xa4\x95 \xe0\xa4\xb9\xe0\xa5\x80 \xe0\xa4\xb5\xe0\xa4\xbe\xe0\xa4\xaf\xe0\xa4\xb0\xe0\xa4\xb8...\xe0\xa4\x8f\xe0\xa4\x95 \xe0\xa4\xb9\xe0\xa5\x80 \xe0\xa4\xb5\xe0\xa5\x88\xe0\xa4\x95\xe0\xa5\x8d\xe0\xa4\xb8\xe0\xa5\x80\xe0\xa4\xa8\n\xe0\xa4\xac\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa4\xbf\xe0\xa4\x9f\xe0\xa5\x87\xe0\xa4\xa8 \xe0\xa4\xae\xe0\xa5\x87\xe0\xa4\x82 \xe0\xa4\x97\xe0\xa4\xbc\xe0\xa5\x88\xe0\xa4\xaa 12 \xe0\xa4\xb8\xe0\xa5\x87 \xe0\xa4\x98\xe0\xa4\x9f\xe0\xa4\xbe\xe0\xa4\x95\xe0\xa4\xb0 8 \xe0\xa4\xb9\xe0\xa4\xab\xe0\xa4\xbc\xe0\xa5\x8d\xe0\xa4\xa4\xe0\xa5\x87 \xe0\xa4\x95\xe0\xa5\x80 \xe0\xa4\x97\xe0\xa4\x88..\n\xe0\xa4\xad\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa4\xa4 \xe0\xa4\xae\xe0\xa5\x87\xe0\xa4\x82 \xe0\xa4\x97\xe0\xa4\xbc\xe0\xa5\x88\xe0\xa4\xaa 6 \xe0\xa4\xb8\xe0\xa5\x87 \xe0\xa4\xac\xe0\xa4\xa2\xe0\xa4\xbc\xe0\xa4\xbe\xe0\xa4\x95\xe0\xa4\xb0 12 \xe0\xa4\xb9\xe0\xa4\xab\xe0\xa4\xbc\xe0\xa5\x8d\xe0\xa4\xa4\xe0\xa5\x87 \xe0\xa4\x95\xe0\xa5\x80 \xe0\xa4\x97\xe0\xa4\x88... https:\xe2\x80\xa6',0.0,0.0
100,RT @prioritylu: No me extra\xc3\xb1ar\xc3\xada que le den el t\xc3\xadtulo de miss universo a la se\xc3\xb1orita Colombia,0.0,0.0
101,@saneperson000 @LeonydusJohnson Do 340 deaths (age 0-18 COVID related deaths) out of 568,0.0,0.4
102,RT @vegsource: Hospital in Iowa: 100% of Covid patients are fully vaccinated. https://t.co/5Ombq1j34Z',0.0,0.0
103,RT @WolffWaldo: R\xc3\xa9cord de v\xc3\xadctimas comunes por COVID que no son \xe2\x80\x9cpersonalidades con derecho a ser protegidos por la sociedad\xe2\x80\x9d como Zannini\xe2\x80\xa6',0.0,0.0
104,RT @PSampathkumarMD: 1/ \xf0\x9f\xa7\xb5on Mucormycosis (Black fungus) \n \nCOVID associated Mucor is increasingly being reported in India.   \n\nSpores of fu\xe2\x80\xa6',-0.16666666666666666,0.43333333333333335
105,"b""RT @Modi_Nama: That's what Congress does best; Spread fake news",0.25,0.65
